"Index","Name","Url","FinalGrade","FunctionalClass","ResultTiles","TestedCategory","NetworkClass1","Status1","NetworkClass2","Status2","FinalUrl","Error"
"40","潇潇漫画","http://www.xiaocunwai.com","失效","NoResultsOrError","0","总点击","Dead","","Dead","","http://www.xiaocunwai.com","System.Management.Automation.MethodInvocationException: Exception calling ""GetResult"" with ""0"" argument(s): ""The request was canceled due to the configured HttpClient.Timeout of 10 seconds elapsing.""
 ---> System.Threading.Tasks.TaskCanceledException: The request was canceled due to the configured HttpClient.Timeout of 10 seconds elapsing.
 ---> System.TimeoutException: A task was canceled.
 ---> System.Threading.Tasks.TaskCanceledException: A task was canceled.
   at System.Threading.Tasks."
"41","漫画屋","https://www.mh5.xyz","失效","SkippedNetwork","0","更新","Dead","","Dead","","https://www.mh5.xyz","System.Management.Automation.MethodInvocationException: Exception calling ""GetResult"" with ""0"" argument(s): ""The SSL connection could not be established, see inner exception.""
 ---> System.Net.Http.HttpRequestException: The SSL connection could not be established, see inner exception.
 ---> System.IO.IOException: Received an unexpected EOF or 0 bytes from the transport stream.
   at System.Net.Security.SslStream.ReceiveHandshakeFrameAsync[TIOAdapter](CancellationToken cancellationToken)
   a"
"42","哩咔漫画","http://www.likamanhua.com","失效","NoResultsOrError","0","总点击","Blocked","","Blocked","","http://www.likamanhua.com","System.Management.Automation.MethodInvocationException: Exception calling ""GetResult"" with ""0"" argument(s): ""请求的名称有效，但是找不到请求的类型的数据。 (www.likamanhua.com:80)""
 ---> System.Net.Http.HttpRequestException: 请求的名称有效，但是找不到请求的类型的数据。 (www.likamanhua.com:80)
 ---> System.Net.Sockets.SocketException (11004): 请求的名称有效，但是找不到请求的类型的数据。
   at System.Net.Sockets.Socket.AwaitableSocketAsyncEventArgs.ThrowException(SocketError error, CancellationToken cancellationToken)
   at System.Net.Sockets.Socket.AwaitableS"
"43","全本漫画","http://www.zhichengxuan.com","失效","NoResultsOrError","0","韩漫","Blocked","","Blocked","","http://www.zhichengxuan.com","System.Management.Automation.MethodInvocationException: Exception calling ""GetResult"" with ""0"" argument(s): ""请求的名称有效，但是找不到请求的类型的数据。 (www.zhichengxuan.com:80)""
 ---> System.Net.Http.HttpRequestException: 请求的名称有效，但是找不到请求的类型的数据。 (www.zhichengxuan.com:80)
 ---> System.Net.Sockets.SocketException (11004): 请求的名称有效，但是找不到请求的类型的数据。
   at System.Net.Sockets.Socket.AwaitableSocketAsyncEventArgs.ThrowException(SocketError error, CancellationToken cancellationToken)
   at System.Net.Sockets.Socket.Awaita"
"44","非麻瓜漫画","http://cqxzyedu.com","可用","BrowseWorks","20","总点击","Blocked","","Blocked","","http://cqxzyedu.com","System.Management.Automation.MethodInvocationException: Exception calling ""GetResult"" with ""0"" argument(s): ""An error occurred while sending the request.""
 ---> System.Net.Http.HttpRequestException: An error occurred while sending the request.
 ---> System.Net.Http.HttpIOException: The response ended prematurely. (ResponseEnded)
   at System.Net.Http.HttpConnection.SendAsync(HttpRequestMessage request, Boolean async, CancellationToken cancellationToken)
   --- End of inner exception stack tr"
"45","250漫画","http://www.mh250.com","可用","BrowseWorks","20","阅读总榜","Reachable","200","Reachable","200","http://www.mh250.com/",""
"46","糖心漫画","http://tangxin666.net","失效","NoResultsOrError","0","最新韩漫","Dead","","Dead","","http://tangxin666.net","System.Management.Automation.MethodInvocationException: Exception calling ""GetResult"" with ""0"" argument(s): ""The request was canceled due to the configured HttpClient.Timeout of 10 seconds elapsing.""
 ---> System.Threading.Tasks.TaskCanceledException: The request was canceled due to the configured HttpClient.Timeout of 10 seconds elapsing.
 ---> System.TimeoutException: A task was canceled.
 ---> System.Threading.Tasks.TaskCanceledException: A task was canceled.
   at System.Threading.Tasks."
"47","飞漫画","https://m.feimh5.com","失效","NotTestedNoCategory","0","","Dead","","Dead","","https://m.feimh5.com","System.Management.Automation.MethodInvocationException: Exception calling ""GetResult"" with ""0"" argument(s): ""The SSL connection could not be established, see inner exception.""
 ---> System.Net.Http.HttpRequestException: The SSL connection could not be established, see inner exception.
 ---> System.IO.IOException: Received an unexpected EOF or 0 bytes from the transport stream.
   at System.Net.Security.SslStream.ReceiveHandshakeFrameAsync[TIOAdapter](CancellationToken cancellationToken)
   a"
"48","一起看动漫","http://www.17kdm.net","部分可用","NoResultsOrError","0","排行","Reachable","200","Reachable","200","http://www.17kdm.net/",""
"49","九啦啦漫画","http://www.9la.la","失效","SkippedNetwork","0","全部","Dead","","Dead","","http://www.9la.la","System.Management.Automation.MethodInvocationException: Exception calling ""GetResult"" with ""0"" argument(s): ""The request was canceled due to the configured HttpClient.Timeout of 10 seconds elapsing.""
 ---> System.Threading.Tasks.TaskCanceledException: The request was canceled due to the configured HttpClient.Timeout of 10 seconds elapsing.
 ---> System.TimeoutException: A task was canceled.
 ---> System.Threading.Tasks.TaskCanceledException: A task was canceled.
   at System.Threading.Tasks."
"50","土豆漫画","https://m.xm124.com","失效","NotTestedNoCategory","0","","Blocked","","Blocked","","https://m.xm124.com","System.Management.Automation.MethodInvocationException: Exception calling ""GetResult"" with ""0"" argument(s): ""请求的名称有效，但是找不到请求的类型的数据。 (m.xm124.com:443)""
 ---> System.Net.Http.HttpRequestException: 请求的名称有效，但是找不到请求的类型的数据。 (m.xm124.com:443)
 ---> System.Net.Sockets.SocketException (11004): 请求的名称有效，但是找不到请求的类型的数据。
   at System.Net.Sockets.Socket.AwaitableSocketAsyncEventArgs.ThrowException(SocketError error, CancellationToken cancellationToken)
   at System.Net.Sockets.Socket.AwaitableSocketAsyncEv"
"51","13漫画","https://m.w13k.com","失效","SkippedNetwork","0","更新","Dead","","Dead","","https://m.w13k.com","System.Management.Automation.MethodInvocationException: Exception calling ""GetResult"" with ""0"" argument(s): ""The SSL connection could not be established, see inner exception.""
 ---> System.Net.Http.HttpRequestException: The SSL connection could not be established, see inner exception.
 ---> System.IO.IOException: Received an unexpected EOF or 0 bytes from the transport stream.
   at System.Net.Security.SslStream.ReceiveHandshakeFrameAsync[TIOAdapter](CancellationToken cancellationToken)
   a"
"52","包子漫画","https://cn.webmota.com","可用","BrowseWorks","20","连载中","Reachable","200","Reachable","200","https://cn.webmota.com/",""
"53","包子青漫","https://www.lwhyxx.net","失效","SkippedNetwork","0","最新上架","Dead","","Dead","","https://www.lwhyxx.net","System.Management.Automation.MethodInvocationException: Exception calling ""GetResult"" with ""0"" argument(s): ""The SSL connection could not be established, see inner exception.""
 ---> System.Net.Http.HttpRequestException: The SSL connection could not be established, see inner exception.
 ---> System.IO.IOException: Received an unexpected EOF or 0 bytes from the transport stream.
   at System.Net.Security.SslStream.ReceiveHandshakeFrameAsync[TIOAdapter](CancellationToken cancellationToken)
   a"
"54","漫圈子","https://www.9mqz.com","可用","BrowseWorks","20","最新","Reachable","200","Reachable","200","https://www.9mqz.com/",""
"55","漫蛙TW","https://www.manwatw.cc","部分可用","NoResultsOrError","0","更新","Blocked","403","Blocked","403","https://www.manwatw.cc/",""
"56","漫蛙漫画","https://www.manwamh5.com","可用","BrowseWorks","20","最新上架","Blocked","403","Blocked","403","https://www.manwamh5.com/",""
"57","奈斯漫画","https://www.nicemh.com","失效","SkippedNetwork","0","更新","Dead","","Dead","","https://www.nicemh.com","System.Management.Automation.MethodInvocationException: Exception calling ""GetResult"" with ""0"" argument(s): ""The SSL connection could not be established, see inner exception.""
 ---> System.Net.Http.HttpRequestException: The SSL connection could not be established, see inner exception.
 ---> System.IO.IOException: Received an unexpected EOF or 0 bytes from the transport stream.
   at System.Net.Security.SslStream.ReceiveHandshakeFrameAsync[TIOAdapter](CancellationToken cancellationToken)
   a"
"58","开心漫画","https://www.kaixinman.com","可用","BrowseWorks","20","更新","Reachable","200","Reachable","200","https://www.kaixinman.com/",""
"59","思思漫画","https://m.sisimanhua.com","可用","BrowseWorks","20","更新","Reachable","200","Reachable","200","https://m.sisimanhua.com/",""
"60","楠楠漫画","https://nnmh.info","部分可用","NotTestedNoCategory","0","","Reachable","200","Reachable","200","https://nnmh.info/",""
"61","168漫画","https://m.quarkmanhua.com","失效","SkippedNetwork","0","更新","Dead","","Dead","","https://m.quarkmanhua.com","System.Management.Automation.MethodInvocationException: Exception calling ""GetResult"" with ""0"" argument(s): ""The request was canceled due to the configured HttpClient.Timeout of 10 seconds elapsing.""
 ---> System.Threading.Tasks.TaskCanceledException: The request was canceled due to the configured HttpClient.Timeout of 10 seconds elapsing.
 ---> System.TimeoutException: A task was canceled.
 ---> System.Threading.Tasks.TaskCanceledException: A task was canceled.
   at System.Threading.Tasks."
"62","168漫画（PC）","http://www.quarkmanhua.com","失效","SkippedNetwork","0","发布排序","Dead","","Dead","","http://www.quarkmanhua.com","System.Management.Automation.MethodInvocationException: Exception calling ""GetResult"" with ""0"" argument(s): ""The request was canceled due to the configured HttpClient.Timeout of 10 seconds elapsing.""
 ---> System.Threading.Tasks.TaskCanceledException: The request was canceled due to the configured HttpClient.Timeout of 10 seconds elapsing.
 ---> System.TimeoutException: A task was canceled.
 ---> System.Threading.Tasks.TaskCanceledException: A task was canceled.
   at System.Threading.Tasks."
"63","悠闲漫画","https://m.yxtun.com","部分可用","NoResultsOrError","0","更新","Blocked","403","Blocked","403","https://m.yxtun.com/",""
"64","粉丝漫画","https://h5.yxtun.com","部分可用","NoResultsOrError","0","更新","Blocked","403","Blocked","403","https://h5.yxtun.com/",""
"65","都市漫画","https://m.guofengmh.com","失效","SkippedNetwork","0","更新","Dead","","Dead","","https://m.guofengmh.com","System.Management.Automation.MethodInvocationException: Exception calling ""GetResult"" with ""0"" argument(s): ""The request was canceled due to the configured HttpClient.Timeout of 10 seconds elapsing.""
 ---> System.Threading.Tasks.TaskCanceledException: The request was canceled due to the configured HttpClient.Timeout of 10 seconds elapsing.
 ---> System.TimeoutException: A task was canceled.
 ---> System.Threading.Tasks.TaskCanceledException: A task was canceled.
   at System.Threading.Tasks."
"66","都市漫画（APP）","https://apifans.dushimh.com","失效","SkippedNetwork","0","最新漫画","Dead","","Dead","","https://apifans.dushimh.com","System.Management.Automation.MethodInvocationException: Exception calling ""GetResult"" with ""0"" argument(s): ""The request was canceled due to the configured HttpClient.Timeout of 10 seconds elapsing.""
 ---> System.Threading.Tasks.TaskCanceledException: The request was canceled due to the configured HttpClient.Timeout of 10 seconds elapsing.
 ---> System.TimeoutException: A task was canceled.
 ---> System.Threading.Tasks.TaskCanceledException: A task was canceled.
   at System.Threading.Tasks."
"67","土豪漫画","https://m.tuhaomh.com","失效","SkippedNetwork","0","更新","Dead","","Dead","","https://m.tuhaomh.com","System.Management.Automation.MethodInvocationException: Exception calling ""GetResult"" with ""0"" argument(s): ""The SSL connection could not be established, see inner exception.""
 ---> System.Net.Http.HttpRequestException: The SSL connection could not be established, see inner exception.
 ---> System.Security.Authentication.AuthenticationException: Authentication failed, see inner exception.
 ---> System.ComponentModel.Win32Exception (0x80090308): 给函数提供的标志无效
   --- End of inner exception stack "
"68","漫画网","https://www.manhua3.com","可用","BrowseWorks","20","最新更新","Reachable","200","Reachable","200","https://www.manhua3.com/",""
"69","漫士多","https://manshiduo.org","可用","BrowseWorks","10","最新更新","Reachable","200","Reachable","200","https://manshiduo.org/",""
"70","如漫画网","https://m.rumanhua.org","部分可用","NoResultsOrError","0","最新更新","Reachable","200","Reachable","200","https://m.rumanhua.org/",""
"71","读漫屋网","https://m.dumanwu.org","可用","BrowseWorks","10","最新更新","Reachable","200","Reachable","200","https://m.dumanwu.org/",""
"72","次元漫","https://ciyuanman.com","可用","BrowseWorks","20","更新","Reachable","200","Reachable","200","https://ciyuanman.com/",""
"73","BikaBika漫画","https://m.bikamanhua.com","可用","BrowseWorks","20","最新","Reachable","200","Reachable","200","https://m.bikamanhua.com/",""
"74","卡拉漫画","https://www.kalamanhua.com","可用","BrowseWorks","20","最新","Reachable","200","Reachable","200","https://www.kalamanhua.com/",""
"75","六漫画","https://m.liumanhua.com","部分可用","NotTestedNoCategory","0","","Reachable","200","Reachable","200","https://m.liumanhua.com/",""
"76","秀十八漫画","https://mip.xiushiba.com","失效","SkippedNetwork","0","热血","Dead","","Dead","","https://mip.xiushiba.com","System.Management.Automation.MethodInvocationException: Exception calling ""GetResult"" with ""0"" argument(s): ""The request was canceled due to the configured HttpClient.Timeout of 10 seconds elapsing.""
 ---> System.Threading.Tasks.TaskCanceledException: The request was canceled due to the configured HttpClient.Timeout of 10 seconds elapsing.
 ---> System.TimeoutException: A task was canceled.
 ---> System.Threading.Tasks.TaskCanceledException: A task was canceled.
   at System.Threading.Tasks."
"77","久五漫画","http://m.99wushu.com","失效","SkippedNetwork","0","排行","Dead","","Dead","","http://m.99wushu.com","System.Management.Automation.MethodInvocationException: Exception calling ""GetResult"" with ""0"" argument(s): ""The request was canceled due to the configured HttpClient.Timeout of 10 seconds elapsing.""
 ---> System.Threading.Tasks.TaskCanceledException: The request was canceled due to the configured HttpClient.Timeout of 10 seconds elapsing.
 ---> System.TimeoutException: The operation was canceled.
 ---> System.Threading.Tasks.TaskCanceledException: The operation was canceled.
 ---> System.IO"
"78","国人漫画","http://m.grmanhua.com","失效","SkippedNetwork","0","排行","Dead","702","Dead","702","http://m.grmanhua.com/",""
"79","漫画居","http://m.manhuaju.com","部分可用","NoResultsOrError","0","完结","Reachable","200","Reachable","200","https://2i.xdxjofalzgmgfotfjrecwrpttn.com/djkfe/5106/mp2ga3",""
"80","爱漫之家","http://m.17fuman.com/","部分可用","NoResultsOrError","0","更新","Reachable","200","Reachable","200","http://m.17fuman.com/",""
"81","一念漫画","http://m.yn887.com","失效","NoResultsOrError","0","更新","Dead","","Dead","","http://m.yn887.com","System.Management.Automation.MethodInvocationException: Exception calling ""GetResult"" with ""0"" argument(s): ""The request was canceled due to the configured HttpClient.Timeout of 10 seconds elapsing.""
 ---> System.Threading.Tasks.TaskCanceledException: The request was canceled due to the configured HttpClient.Timeout of 10 seconds elapsing.
 ---> System.TimeoutException: The operation was canceled.
 ---> System.Threading.Tasks.TaskCanceledException: The operation was canceled.
 ---> System.IO"
"82","漫画驴","https://m.manhualv.com","失效","SkippedNetwork","0","排行","Dead","","Dead","","https://m.manhualv.com","System.Management.Automation.MethodInvocationException: Exception calling ""GetResult"" with ""0"" argument(s): ""The SSL connection could not be established, see inner exception.""
 ---> System.Net.Http.HttpRequestException: The SSL connection could not be established, see inner exception.
 ---> System.IO.IOException: Received an unexpected EOF or 0 bytes from the transport stream.
   at System.Net.Security.SslStream.ReceiveHandshakeFrameAsync[TIOAdapter](CancellationToken cancellationToken)
   a"
"83","漫画殿","http://m.manhuadian.com","失效","SkippedNetwork","0","排行","Dead","503","Dead","503","http://m.manhuadian.com/",""
"84","漫画1234","https://m.wmh1234.com","可用","BrowseWorks","20","最新","Reachable","200","Reachable","200","https://m.wmh1234.com/",""
"85","漫画160","https://m.mh160mh.com","可用","BrowseWorks","20","排行榜","Reachable","200","Reachable","200","https://m.mh160mh.com/",""
"86","57漫画","http://m.wuqimh.net","部分可用","NoResultsOrError","0","全部","Dead","","Reachable","200","http://ww547.wuqimh.net/?tkn=19vnMT3S","System.Management.Automation.MethodInvocationException: Exception calling ""GetResult"" with ""0"" argument(s): ""The request was canceled due to the configured HttpClient.Timeout of 10 seconds elapsing.""
 ---> System.Threading.Tasks.TaskCanceledException: The request was canceled due to the configured HttpClient.Timeout of 10 seconds elapsing.
 ---> System.TimeoutException: The operation was canceled.
 ---> System.Threading.Tasks.TaskCanceledException: The operation was canceled.
 ---> System.IO"
"87","92漫画","https://wap.92mh.com","失效","NotTestedNoCategory","0","","Dead","","Dead","","https://wap.92mh.com","System.Management.Automation.MethodInvocationException: Exception calling ""GetResult"" with ""0"" argument(s): ""The SSL connection could not be established, see inner exception.""
 ---> System.Net.Http.HttpRequestException: The SSL connection could not be established, see inner exception.
 ---> System.IO.IOException: Received an unexpected EOF or 0 bytes from the transport stream.
   at System.Net.Security.SslStream.ReceiveHandshakeFrameAsync[TIOAdapter](CancellationToken cancellationToken)
   a"
"88","31漫画","https://m.31mh.cc","部分可用","NoResultsOrError","0","最新更新","Blocked","403","Blocked","200","https://m.31mh.cc/",""
"89","咚漫","https://m.dongmanmanhua.cn","失效","SkippedNetwork","0","发现","Dead","","Dead","","https://m.dongmanmanhua.cn","System.Management.Automation.MethodInvocationException: Exception calling ""GetResult"" with ""0"" argument(s): ""The SSL connection could not be established, see inner exception.""
 ---> System.Net.Http.HttpRequestException: The SSL connection could not be established, see inner exception.
 ---> System.IO.IOException: Received an unexpected EOF or 0 bytes from the transport stream.
   at System.Net.Security.SslStream.ReceiveHandshakeFrameAsync[TIOAdapter](CancellationToken cancellationToken)
   a"
"90","咚漫（PC）","https://www.dongmanmanhua.cn","失效","SkippedNetwork","0","连载和完结","Dead","","Dead","","https://www.dongmanmanhua.cn","System.Management.Automation.MethodInvocationException: Exception calling ""GetResult"" with ""0"" argument(s): ""The SSL connection could not be established, see inner exception.""
 ---> System.Net.Http.HttpRequestException: The SSL connection could not be established, see inner exception.
 ---> System.IO.IOException: Received an unexpected EOF or 0 bytes from the transport stream.
   at System.Net.Security.SslStream.ReceiveHandshakeFrameAsync[TIOAdapter](CancellationToken cancellationToken)
   a"
"91","Webtoon","https://www.webtoons.com","部分可用","NoResultsOrError","0","Genre","Reachable","200","Reachable","200","https://www.webtoons.com/",""
"92","Webtoon中文","https://us-m.webtoons.com/zh-hant","部分可用","NoResultsOrError","0","全部","Reachable","200","Reachable","200","https://us-m.webtoons.com/zh-hant",""
"93","忆漫画","https://m.yimmh.com","失效","NoResultsOrError","0","连载","Dead","","Dead","","https://m.yimmh.com","System.Management.Automation.MethodInvocationException: Exception calling ""GetResult"" with ""0"" argument(s): ""The request was canceled due to the configured HttpClient.Timeout of 10 seconds elapsing.""
 ---> System.Threading.Tasks.TaskCanceledException: The request was canceled due to the configured HttpClient.Timeout of 10 seconds elapsing.
 ---> System.TimeoutException: A task was canceled.
 ---> System.Threading.Tasks.TaskCanceledException: A task was canceled.
   at System.Threading.Tasks."
"94","酷爱漫画","https://www.kuimh.com","失效","SkippedNetwork","0","连载","Dead","","Dead","","https://www.kuimh.com","System.Management.Automation.MethodInvocationException: Exception calling ""GetResult"" with ""0"" argument(s): ""The SSL connection could not be established, see inner exception.""
 ---> System.Net.Http.HttpRequestException: The SSL connection could not be established, see inner exception.
 ---> System.IO.IOException: Received an unexpected EOF or 0 bytes from the transport stream.
   at System.Net.Security.SslStream.ReceiveHandshakeFrameAsync[TIOAdapter](CancellationToken cancellationToken)
   a"
"95","我爱漫画","https://www.woimh.com","可用","BrowseWorks","20","连载","Reachable","200","Reachable","200","https://www.woimh.com/",""
"96","旧城漫画","https://www.jc2007.com","部分可用","NoResultsOrError","0","人气","Reachable","200","Reachable","200","https://www.jc2007.com/",""
"97","聚合漫画屋","https://www.52hah.com","部分可用","NoResultsOrError","0","最新","Reachable","200","Reachable","200","https://www.52hah.com/",""
